epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2565,0.92144,3.31584,1.51409,0.74848,0.46622,0.71544,0.0983,3.09188,3.34049,6.77147,0.00331532,0.00331532,0.0701622
2,72.9484,0.70432,2.33551,1.31165,0.73186,0.64333,0.72966,0.11595,3.17228,3.92597,8.91468,0.00664702,0.00664702,0.0401605
3,108.188,0.70549,2.07744,1.29112,0.86376,0.38333,0.60978,0.09803,3.03172,3.20763,8.69975,0.00997223,0.00997223,0.0101524
4,143.577,0.699,1.94268,1.28485,0.64986,0.58,0.66258,0.17842,2.78383,3.25663,7.2556,0.00997803,0.00997803,0.00997803
5,178.744,0.67191,1.82748,1.25404,0.88538,0.48922,0.77368,0.19925,2.8848,3.66584,9.6433,0.00996097,0.00996097,0.00996097
6,213.883,0.64787,1.7294,1.23479,0.73067,0.39789,0.70411,0.13581,3.11433,3.60401,10.2503,0.00993906,0.00993906,0.00993906
7,249.299,0.62239,1.65559,1.21871,0.74585,0.72333,0.81512,0.15686,3.11408,2.15171,9.88101,0.00991232,0.00991232,0.00991232
8,284.439,0.6162,1.60976,1.2141,0.80012,0.61667,0.7821,0.15535,3.15154,2.44295,10.2252,0.00988079,0.00988079,0.00988079
9,319.911,0.60383,1.53247,1.20672,0.81706,0.41,0.74987,0.173,3.00222,3.34058,9.15088,0.00984449,0.00984449,0.00984449
10,355.664,0.56721,1.44121,1.17157,0.59382,0.83333,0.73114,0.15184,3.07079,3.71851,9.94138,0.00980345,0.00980345,0.00980345
11,391.631,0.57494,1.453,1.18115,0.76083,0.43476,0.67474,0.13675,3.10153,3.2371,10.0334,0.00975773,0.00975773,0.00975773
12,427.361,0.56562,1.4218,1.17803,0.70471,0.94667,0.91822,0.19794,3.02064,2.92759,9.83907,0.00970736,0.00970736,0.00970736
13,463.344,0.54761,1.3575,1.16276,0.33696,0.93,0.65085,0.12513,3.18239,4.15831,10.7414,0.00965239,0.00965239,0.00965239
14,498.918,0.54025,1.30943,1.15183,0.6023,0.87333,0.83114,0.16939,3.12676,3.68126,10.1173,0.00959289,0.00959289,0.00959289
15,534.869,0.534,1.29631,1.15023,0.59845,0.77,0.79502,0.17361,3.03903,3.91986,10.0363,0.00952889,0.00952889,0.00952889
